cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
0,COMM_HEAVY,4,8659,323,0.7046,HIGH,0,0
1,COMM_HEAVY,1,2576,0,0.0000,MEDIUM,1,0
2,COMM_HEAVY,1,3584,0,0.0000,MEDIUM,2,0
3,COMM_HEAVY,1,3365,0,0.0000,MEDIUM,3,0
4,COMM_HEAVY,1,3371,0,0.0000,MEDIUM,4,0
5,COMM_HEAVY,1,3616,0,0.0000,MEDIUM,5,0
6,COMM_HEAVY,1,2435,0,0.0000,MEDIUM,6,0
7,COMM_HEAVY,1,3086,0,0.0000,MEDIUM,0,0
8,COMM_HEAVY,1,3344,0,0.0000,MEDIUM,1,0
9,COMM_HEAVY,1,2473,0,0.0000,MEDIUM,2,0
10,COMM_HEAVY,1,3315,0,0.0000,MEDIUM,3,0
11,COMM_HEAVY,1,3820,0,0.0000,MEDIUM,4,0
12,COMM_HEAVY,1,2453,0,0.0000,MEDIUM,5,0
13,COMM_HEAVY,1,3994,0,0.0000,MEDIUM,6,0
14,COMM_HEAVY,1,3688,0,0.0000,MEDIUM,0,0
15,COMM_HEAVY,1,2363,0,0.0000,MEDIUM,1,0
16,COMM_HEAVY,1,3986,0,0.0000,MEDIUM,2,0
17,COMM_HEAVY,1,3787,0,0.0000,MEDIUM,3,0
18,COMM_HEAVY,1,2253,0,0.0000,MEDIUM,4,0
19,COMM_HEAVY,1,2621,0,0.0000,MEDIUM,5,0
20,COMM_HEAVY,1,2589,0,0.0000,MEDIUM,6,0
21,COMM_HEAVY,1,2748,0,0.0000,MEDIUM,0,0
22,COMM_HEAVY,1,3704,0,0.0000,MEDIUM,1,0
23,COMM_HEAVY,1,2470,0,0.0000,MEDIUM,2,0
24,COMM_HEAVY,1,3561,0,0.0000,MEDIUM,3,0
25,COMM_HEAVY,1,2889,0,0.0000,MEDIUM,4,0
26,COMM_HEAVY,1,2509,0,0.0000,MEDIUM,5,0
27,COMM_HEAVY,1,2993,0,0.0000,MEDIUM,6,0
28,COMM_HEAVY,1,2761,0,0.0000,MEDIUM,0,0
29,COMM_HEAVY,1,2299,0,0.0000,MEDIUM,1,0
30,COMM_HEAVY,1,2464,0,0.0000,MEDIUM,2,0
31,COMM_HEAVY,1,2667,0,0.0000,MEDIUM,3,0
32,COMM_HEAVY,1,2117,0,0.0000,MEDIUM,4,0
33,COMM_HEAVY,1,3654,0,0.0000,MEDIUM,5,0
34,COMM_HEAVY,1,3906,0,0.0000,MEDIUM,6,0
35,COMM_HEAVY,1,3993,0,0.0000,MEDIUM,0,0
36,COMM_HEAVY,1,2474,0,0.0000,MEDIUM,1,0
37,COMM_HEAVY,1,2965,0,0.0000,MEDIUM,2,0
38,COMM_HEAVY,1,3164,0,0.0000,MEDIUM,3,0
39,COMM_HEAVY,1,3609,0,0.0000,HIGH,4,0
40,COMM_HEAVY,1,2757,0,0.0000,HIGH,5,0
41,COMM_HEAVY,4,10066,289,0.6602,HIGH,6,0
42,COMM_HEAVY,1,3417,0,0.0000,MEDIUM,0,0
43,COMM_HEAVY,1,3065,0,0.0000,MEDIUM,1,0
44,COMM_HEAVY,1,2169,0,0.0000,MEDIUM,2,0
45,COMM_HEAVY,1,2660,0,0.0000,MEDIUM,3,0
46,COMM_HEAVY,1,3200,0,0.0000,MEDIUM,4,0
47,COMM_HEAVY,1,3454,0,0.0000,MEDIUM,5,0
48,COMM_HEAVY,1,3197,0,0.0000,MEDIUM,6,0
49,COMM_HEAVY,1,2715,0,0.0000,MEDIUM,0,0
50,COMM_HEAVY,1,2123,0,0.0000,MEDIUM,1,0
51,COMM_HEAVY,1,2093,0,0.0000,MEDIUM,2,0
52,COMM_HEAVY,1,2315,0,0.0000,MEDIUM,3,0
53,COMM_HEAVY,1,2372,0,0.0000,MEDIUM,4,0
54,COMM_HEAVY,1,2761,0,0.0000,MEDIUM,5,0
55,COMM_HEAVY,1,3804,0,0.0000,MEDIUM,6,0
56,COMM_HEAVY,1,3671,0,0.0000,MEDIUM,0,0
57,COMM_HEAVY,1,3419,0,0.0000,MEDIUM,1,0
58,COMM_HEAVY,1,2789,0,0.0000,MEDIUM,2,0
59,COMM_HEAVY,1,2645,0,0.0000,MEDIUM,3,0
60,COMM_HEAVY,1,3608,0,0.0000,MEDIUM,4,0
61,COMM_HEAVY,1,3739,0,0.0000,MEDIUM,5,0
62,COMM_HEAVY,1,2323,0,0.0000,MEDIUM,6,0
63,COMM_HEAVY,1,3621,0,0.0000,MEDIUM,0,0
64,COMM_HEAVY,1,3910,0,0.0000,MEDIUM,1,0
65,COMM_HEAVY,1,2007,0,0.0000,MEDIUM,2,0
66,COMM_HEAVY,1,2278,0,0.0000,MEDIUM,3,0
67,COMM_HEAVY,1,2461,0,0.0000,MEDIUM,4,0
68,COMM_HEAVY,1,3421,0,0.0000,MEDIUM,5,0
69,COMM_HEAVY,1,3033,0,0.0000,MEDIUM,6,0
70,COMM_HEAVY,1,3675,0,0.0000,MEDIUM,0,0
71,COMM_HEAVY,1,3263,0,0.0000,MEDIUM,1,0
72,COMM_HEAVY,1,2128,0,0.0000,MEDIUM,2,0
73,COMM_HEAVY,1,3102,0,0.0000,MEDIUM,3,0
74,COMM_HEAVY,1,2424,0,0.0000,MEDIUM,4,0
75,COMM_HEAVY,1,2059,0,0.0000,MEDIUM,5,0
76,COMM_HEAVY,1,3630,0,0.0000,MEDIUM,6,0
77,COMM_HEAVY,1,2838,0,0.0000,MEDIUM,0,0
78,COMM_HEAVY,1,3445,0,0.0000,MEDIUM,1,0
79,COMM_HEAVY,1,3344,0,0.0000,MEDIUM,2,0
80,COMM_HEAVY,1,2643,0,0.0000,HIGH,3,0
81,COMM_HEAVY,4,9630,258,0.5982,HIGH,4,0
82,COMM_HEAVY,1,3522,0,0.0000,MEDIUM,5,0
83,COMM_HEAVY,1,3142,0,0.0000,MEDIUM,6,0
84,COMM_HEAVY,1,3515,0,0.0000,MEDIUM,0,0
85,COMM_HEAVY,1,3488,0,0.0000,MEDIUM,1,0
86,COMM_HEAVY,1,3791,0,0.0000,MEDIUM,2,0
87,COMM_HEAVY,1,2934,0,0.0000,MEDIUM,3,0
88,COMM_HEAVY,1,2308,0,0.0000,MEDIUM,4,0
89,COMM_HEAVY,1,3375,0,0.0000,MEDIUM,5,0
90,COMM_HEAVY,1,2473,0,0.0000,MEDIUM,6,0
91,COMM_HEAVY,1,3303,0,0.0000,MEDIUM,0,0
92,COMM_HEAVY,1,3866,0,0.0000,MEDIUM,1,0
93,COMM_HEAVY,1,3095,0,0.0000,MEDIUM,2,0
94,COMM_HEAVY,1,2099,0,0.0000,MEDIUM,3,0
95,COMM_HEAVY,1,3489,0,0.0000,MEDIUM,4,0
96,COMM_HEAVY,1,3787,0,0.0000,MEDIUM,5,0
97,COMM_HEAVY,1,2366,0,0.0000,MEDIUM,6,0
98,COMM_HEAVY,1,2592,0,0.0000,MEDIUM,0,0
99,COMM_HEAVY,1,3275,0,0.0000,MEDIUM,1,0
100,COMM_HEAVY,1,2343,0,0.0000,MEDIUM,2,0
101,COMM_HEAVY,1,3267,0,0.0000,MEDIUM,3,0
102,COMM_HEAVY,1,3192,0,0.0000,MEDIUM,4,0
103,COMM_HEAVY,1,2379,0,0.0000,MEDIUM,5,0
104,COMM_HEAVY,1,2199,0,0.0000,MEDIUM,6,0
105,COMM_HEAVY,1,3531,0,0.0000,MEDIUM,0,0
106,COMM_HEAVY,1,3073,0,0.0000,MEDIUM,1,0
107,COMM_HEAVY,1,2112,0,0.0000,MEDIUM,2,0
108,COMM_HEAVY,1,3110,0,0.0000,MEDIUM,3,0
109,COMM_HEAVY,1,2259,0,0.0000,MEDIUM,4,0
110,COMM_HEAVY,1,2607,0,0.0000,MEDIUM,5,0
111,COMM_HEAVY,1,2595,0,0.0000,MEDIUM,6,0
112,COMM_HEAVY,1,2089,0,0.0000,MEDIUM,0,0
113,COMM_HEAVY,1,2812,0,0.0000,MEDIUM,1,0
114,COMM_HEAVY,1,2522,0,0.0000,MEDIUM,2,0
115,COMM_HEAVY,1,2250,0,0.0000,MEDIUM,3,0
116,COMM_HEAVY,1,2983,0,0.0000,MEDIUM,4,0
117,COMM_HEAVY,1,2790,0,0.0000,MEDIUM,5,0
118,COMM_HEAVY,1,3967,0,0.0000,MEDIUM,6,0
