src_task_id,src_name,src_chiplet,src_core,dst_task_id,dst_name,dst_chiplet,dst_core,volume_bytes,comm_latency_cycles,inject_cycle
0,load_market_data,2,0,1,rng_stream_0,4,0,64,31,200
0,load_market_data,2,0,2,rng_stream_1,0,0,64,31,200
0,load_market_data,2,0,3,rng_stream_2,3,0,64,31,200
0,load_market_data,2,0,4,rng_stream_3,1,0,64,31,200
0,load_market_data,2,0,5,rng_stream_4,2,1,64,31,200
0,load_market_data,2,0,6,rng_stream_5,2,2,64,31,200
0,load_market_data,2,0,7,rng_stream_6,6,0,64,31,200
0,load_market_data,2,0,8,rng_stream_7,3,1,64,31,200
0,load_market_data,2,0,9,rng_stream_8,0,1,64,31,200
0,load_market_data,2,0,10,rng_stream_9,4,1,64,31,200
0,load_market_data,2,0,11,rng_stream_10,0,2,64,31,200
0,load_market_data,2,0,12,rng_stream_11,0,3,64,31,200
0,load_market_data,2,0,13,rng_stream_12,1,1,64,31,200
0,load_market_data,2,0,14,rng_stream_13,1,2,64,31,200
0,load_market_data,2,0,15,rng_stream_14,2,3,64,31,200
0,load_market_data,2,0,16,rng_stream_15,2,0,64,31,200
0,load_market_data,2,0,17,rng_stream_16,6,1,64,31,200
0,load_market_data,2,0,18,rng_stream_17,3,2,64,31,200
0,load_market_data,2,0,19,rng_stream_18,6,2,64,31,200
0,load_market_data,2,0,20,rng_stream_19,4,2,64,31,200
0,load_market_data,2,0,21,rng_stream_20,3,3,64,31,200
0,load_market_data,2,0,22,rng_stream_21,4,3,64,31,200
0,load_market_data,2,0,23,rng_stream_22,0,0,64,31,200
0,load_market_data,2,0,24,rng_stream_23,5,0,64,31,200
0,load_market_data,2,0,25,rng_stream_24,5,1,64,31,200
0,load_market_data,2,0,26,rng_stream_25,3,0,64,31,200
0,load_market_data,2,0,27,rng_stream_26,3,1,64,31,200
0,load_market_data,2,0,28,rng_stream_27,1,3,64,31,200
0,load_market_data,2,0,29,rng_stream_28,2,0,64,31,200
0,load_market_data,2,0,30,rng_stream_29,5,2,64,31,200
0,load_market_data,2,0,31,rng_stream_30,2,1,64,31,200
0,load_market_data,2,0,32,rng_stream_31,5,3,64,31,200
0,load_market_data,2,0,33,rng_stream_32,4,0,64,31,200
0,load_market_data,2,0,34,rng_stream_33,0,1,64,31,200
0,load_market_data,2,0,35,rng_stream_34,0,2,64,31,200
0,load_market_data,2,0,36,rng_stream_35,3,2,64,31,200
0,load_market_data,2,0,37,rng_stream_36,0,3,64,31,200
0,load_market_data,2,0,38,rng_stream_37,3,3,64,31,200
0,load_market_data,2,0,39,rng_stream_38,5,0,64,31,200
0,load_market_data,2,0,40,rng_stream_39,5,1,64,31,200
0,load_market_data,2,0,41,rng_stream_40,3,0,64,31,200
0,load_market_data,2,0,42,rng_stream_41,2,2,64,31,200
0,load_market_data,2,0,43,rng_stream_42,0,0,64,31,200
0,load_market_data,2,0,44,rng_stream_43,3,1,64,31,200
0,load_market_data,2,0,45,rng_stream_44,5,2,64,31,200
0,load_market_data,2,0,46,rng_stream_45,4,1,64,31,200
0,load_market_data,2,0,47,rng_stream_46,0,1,64,31,200
0,load_market_data,2,0,48,rng_stream_47,2,3,64,31,200
0,load_market_data,2,0,49,rng_stream_48,0,2,64,31,200
0,load_market_data,2,0,50,rng_stream_49,5,3,64,31,200
0,load_market_data,2,0,51,rng_stream_50,0,3,64,31,200
0,load_market_data,2,0,52,rng_stream_51,5,0,64,31,200
0,load_market_data,2,0,53,rng_stream_52,4,2,64,31,200
0,load_market_data,2,0,54,rng_stream_53,4,3,64,31,200
0,load_market_data,2,0,55,rng_stream_54,1,0,64,31,200
0,load_market_data,2,0,56,rng_stream_55,0,0,64,31,200
0,load_market_data,2,0,57,rng_stream_56,3,2,64,31,200
0,load_market_data,2,0,58,rng_stream_57,0,1,64,31,200
0,load_market_data,2,0,59,rng_stream_58,2,0,64,31,200
0,load_market_data,2,0,60,rng_stream_59,5,1,64,31,200
0,load_market_data,2,0,61,rng_stream_60,4,0,64,31,200
0,load_market_data,2,0,62,rng_stream_61,4,1,64,31,200
0,load_market_data,2,0,63,rng_stream_62,6,3,64,31,200
0,load_market_data,2,0,64,rng_stream_63,0,2,64,31,200
1,rng_stream_0,4,0,65,price_opt0_path0,4,2,97,34,531
2,rng_stream_1,0,0,66,price_opt0_path1,0,2,71,32,531
3,rng_stream_2,3,0,67,price_opt0_path2,3,2,83,33,531
4,rng_stream_3,1,0,68,price_opt0_path3,4,1,46,30,531
5,rng_stream_4,2,1,69,price_opt0_path4,6,1,47,30,531
6,rng_stream_5,2,2,70,price_opt0_path5,6,3,50,31,531
7,rng_stream_6,6,0,71,price_opt0_path6,3,2,52,31,531
8,rng_stream_7,3,1,72,price_opt0_path7,3,0,75,32,531
9,rng_stream_8,0,1,73,price_opt0_path8,0,3,116,35,531
10,rng_stream_9,4,1,74,price_opt0_path9,1,3,38,30,531
11,rng_stream_10,0,2,75,price_opt0_path10,0,2,92,33,531
12,rng_stream_11,0,3,76,price_opt0_path11,0,2,82,33,531
13,rng_stream_12,1,1,77,price_opt0_path12,1,0,86,33,531
14,rng_stream_13,1,2,78,price_opt0_path13,6,0,32,29,531
15,rng_stream_14,2,3,79,price_opt0_path14,2,2,61,31,531
16,rng_stream_15,2,0,80,price_opt0_path15,2,3,124,35,531
17,rng_stream_16,6,1,81,price_opt0_path16,6,0,44,30,531
18,rng_stream_17,3,2,82,price_opt0_path17,4,0,39,30,531
19,rng_stream_18,6,2,83,price_opt0_path18,6,2,62,31,531
20,rng_stream_19,4,2,84,price_opt0_path19,4,3,93,33,531
21,rng_stream_20,3,3,85,price_opt0_path20,3,1,99,34,531
22,rng_stream_21,4,3,86,price_opt0_path21,4,0,94,33,531
23,rng_stream_22,0,0,87,price_opt0_path22,0,2,121,35,831
24,rng_stream_23,5,0,88,price_opt0_path23,5,2,60,31,531
25,rng_stream_24,5,1,89,price_opt0_path24,5,3,87,33,531
26,rng_stream_25,3,0,90,price_opt0_path25,3,1,49,31,831
27,rng_stream_26,3,1,91,price_opt0_path26,3,2,83,33,831
28,rng_stream_27,1,3,92,price_opt0_path27,1,2,94,33,531
29,rng_stream_28,2,0,93,price_opt0_path28,6,2,45,30,831
30,rng_stream_29,5,2,94,price_opt0_path29,5,3,88,33,531
31,rng_stream_30,2,1,95,price_opt0_path30,2,2,78,32,831
32,rng_stream_31,5,3,96,price_opt0_path31,5,2,69,32,531
33,rng_stream_32,4,0,97,price_opt0_path32,4,1,74,32,831
34,rng_stream_33,0,1,98,price_opt0_path33,0,0,71,32,831
35,rng_stream_34,0,2,99,price_opt0_path34,0,3,74,32,831
36,rng_stream_35,3,2,100,price_opt0_path35,6,0,34,30,831
37,rng_stream_36,0,3,101,price_opt0_path36,0,3,107,34,831
38,rng_stream_37,3,3,102,price_opt0_path37,3,2,85,33,831
39,rng_stream_38,5,0,103,price_opt0_path38,5,2,68,32,831
40,rng_stream_39,5,1,104,price_opt0_path39,5,2,83,33,831
41,rng_stream_40,3,0,105,price_opt0_path40,3,3,124,35,1131
42,rng_stream_41,2,2,106,price_opt0_path41,1,1,49,31,831
43,rng_stream_42,0,0,107,price_opt0_path42,3,1,43,30,1131
44,rng_stream_43,3,1,108,price_opt0_path43,3,3,115,35,1131
45,rng_stream_44,5,2,109,price_opt0_path44,4,3,39,30,831
46,rng_stream_45,4,1,110,price_opt0_path45,4,2,112,34,831
47,rng_stream_46,0,1,111,price_opt0_path46,0,3,113,35,1131
48,rng_stream_47,2,3,112,price_opt0_path47,1,3,39,30,831
49,rng_stream_48,0,2,113,price_opt0_path48,3,2,33,30,1131
50,rng_stream_49,5,3,114,price_opt0_path49,5,0,36,30,831
51,rng_stream_50,0,3,115,price_opt0_path50,0,0,66,32,1131
52,rng_stream_51,5,0,116,price_opt0_path51,5,1,96,33,1131
53,rng_stream_52,4,2,117,price_opt0_path52,4,0,33,30,831
54,rng_stream_53,4,3,118,price_opt0_path53,6,3,42,30,831
55,rng_stream_54,1,0,119,price_opt0_path54,1,2,119,35,831
56,rng_stream_55,0,0,120,price_opt0_path55,0,3,109,34,1431
57,rng_stream_56,3,2,121,price_opt0_path56,3,1,110,34,1131
58,rng_stream_57,0,1,122,price_opt0_path57,0,2,94,33,1431
59,rng_stream_58,2,0,123,price_opt0_path58,2,0,92,33,1131
60,rng_stream_59,5,1,124,price_opt0_path59,5,0,46,30,1131
61,rng_stream_60,4,0,125,price_opt0_path60,4,1,87,33,1131
62,rng_stream_61,4,1,126,price_opt0_path61,6,0,38,30,1131
63,rng_stream_62,6,3,127,price_opt0_path62,6,0,62,31,531
64,rng_stream_63,0,2,128,price_opt0_path63,6,1,53,31,1431
1,rng_stream_0,4,0,129,price_opt1_path0,4,3,83,33,531
2,rng_stream_1,0,0,130,price_opt1_path1,0,0,73,32,531
3,rng_stream_2,3,0,131,price_opt1_path2,3,3,127,35,531
4,rng_stream_3,1,0,132,price_opt1_path3,4,3,45,30,531
5,rng_stream_4,2,1,133,price_opt1_path4,2,3,104,34,531
6,rng_stream_5,2,2,134,price_opt1_path5,2,3,108,34,531
7,rng_stream_6,6,0,135,price_opt1_path6,6,1,102,34,531
8,rng_stream_7,3,1,136,price_opt1_path7,3,2,114,35,531
9,rng_stream_8,0,1,137,price_opt1_path8,0,0,85,33,531
10,rng_stream_9,4,1,138,price_opt1_path9,6,3,37,30,531
11,rng_stream_10,0,2,139,price_opt1_path10,0,3,118,35,531
12,rng_stream_11,0,3,140,price_opt1_path11,0,0,62,31,531
13,rng_stream_12,1,1,141,price_opt1_path12,1,3,86,33,531
14,rng_stream_13,1,2,142,price_opt1_path13,6,2,56,31,531
15,rng_stream_14,2,3,143,price_opt1_path14,2,0,122,35,531
16,rng_stream_15,2,0,144,price_opt1_path15,5,2,35,30,531
17,rng_stream_16,6,1,145,price_opt1_path16,6,3,98,34,531
18,rng_stream_17,3,2,146,price_opt1_path17,3,2,74,32,531
19,rng_stream_18,6,2,147,price_opt1_path18,6,0,126,35,531
20,rng_stream_19,4,2,148,price_opt1_path19,4,1,78,32,531
21,rng_stream_20,3,3,149,price_opt1_path20,3,3,55,31,531
22,rng_stream_21,4,3,150,price_opt1_path21,4,2,122,35,531
23,rng_stream_22,0,0,151,price_opt1_path22,6,1,45,30,831
24,rng_stream_23,5,0,152,price_opt1_path23,6,2,48,30,531
25,rng_stream_24,5,1,153,price_opt1_path24,5,1,80,32,531
26,rng_stream_25,3,0,154,price_opt1_path25,3,3,37,30,831
27,rng_stream_26,3,1,155,price_opt1_path26,3,3,60,31,831
28,rng_stream_27,1,3,156,price_opt1_path27,1,0,121,35,531
29,rng_stream_28,2,0,157,price_opt1_path28,2,3,69,32,831
30,rng_stream_29,5,2,158,price_opt1_path29,5,2,76,32,531
31,rng_stream_30,2,1,159,price_opt1_path30,2,1,88,33,831
32,rng_stream_31,5,3,160,price_opt1_path31,1,3,43,30,531
33,rng_stream_32,4,0,161,price_opt1_path32,4,0,67,32,831
34,rng_stream_33,0,1,162,price_opt1_path33,0,3,66,32,831
35,rng_stream_34,0,2,163,price_opt1_path34,0,1,117,35,831
