global_core_id,chiplet_id,ring,local_core_id,row,col,state,tasks_executed,cycles_busy,utilization_pct
0,0,0,0,0,0,IDLE,117,341883,70.35
1,0,0,1,0,1,IDLE,113,344295,70.85
2,0,0,2,1,0,IDLE,116,342722,70.52
3,0,0,3,1,1,IDLE,118,344552,70.90
4,1,1,0,0,0,IDLE,159,481983,99.18
5,1,1,1,0,1,IDLE,167,482062,99.20
6,1,1,2,1,0,IDLE,166,481331,99.05
7,1,1,3,1,1,IDLE,163,481402,99.06
8,2,1,0,0,0,IDLE,115,334067,68.74
9,2,1,1,0,1,IDLE,110,332426,68.41
10,2,1,2,1,0,IDLE,111,333664,68.66
11,2,1,3,1,1,IDLE,114,333336,68.59
12,3,1,0,0,0,IDLE,162,482904,99.37
13,3,1,1,0,1,IDLE,166,480579,98.89
14,3,1,2,1,0,IDLE,167,483223,99.44
15,3,1,3,1,1,IDLE,177,481031,98.99
16,4,1,0,0,0,IDLE,169,475100,97.77
17,4,1,1,0,1,IDLE,168,475107,97.77
18,4,1,2,1,0,IDLE,163,477516,98.26
19,4,1,3,1,1,IDLE,168,477776,98.32
20,5,1,0,0,0,IDLE,166,483906,99.58
21,5,1,1,0,1,IDLE,173,483640,99.52
22,5,1,2,1,0,IDLE,164,483596,99.51
23,5,1,3,1,1,IDLE,165,485418,99.89
24,6,1,0,0,0,IDLE,163,472871,97.31
25,6,1,1,0,1,IDLE,160,470766,96.87
26,6,1,2,1,0,IDLE,162,472287,97.19
27,6,1,3,1,1,IDLE,165,470833,96.89
