cycle,event_kind,task_id,cluster_id,chiplet_id,core_id,note
0,CLUSTER_FORMED,-1,0,-1,-1,"Phase1 COMM_HEAVY tasks=4"
0,TASK_DEFERRED,64,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,192,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,256,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,384,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,0,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,1,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,4032,1,1,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,1,1,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,2,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3968,2,2,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,2,2,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,3,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3904,3,3,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,3,3,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,4,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3776,4,4,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,4,4,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,5,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3712,5,5,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,5,5,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,6,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3648,6,6,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,6,6,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,7,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3584,7,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,7,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,8,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3456,8,1,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,8,1,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,9,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3392,9,2,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,9,2,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,10,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3328,10,3,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,10,3,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,11,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3264,11,4,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,11,4,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,12,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3200,12,5,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,12,5,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,13,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3136,13,6,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,13,6,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,14,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3072,14,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,14,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,15,-1,-1,"Phase1 COMM_HEAVY tasks=1"
0,TASK_DEFERRED,3008,15,1,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,15,1,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,16,-1,-1,"Phase1 COMM_HEAVY tasks=1"
