task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
0,load_market_data,COMPUTE_LIGHT,LOW,200,200,100000,0,0,0,0,99800,2929,2,0,-1,0,200,COMPLETED
1,rng_stream_0,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2888,4,0,-1,231,531,COMPLETED
2,rng_stream_1,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2835,0,0,-1,231,531,COMPLETED
3,rng_stream_2,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2789,3,0,-1,231,531,COMPLETED
4,rng_stream_3,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2738,1,0,-1,231,531,COMPLETED
5,rng_stream_4,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2697,2,1,-1,231,531,COMPLETED
6,rng_stream_5,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2648,2,2,-1,231,531,COMPLETED
7,rng_stream_6,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2603,6,0,-1,231,531,COMPLETED
8,rng_stream_7,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2551,3,1,-1,231,531,COMPLETED
9,rng_stream_8,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2506,0,1,-1,231,531,COMPLETED
10,rng_stream_9,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2468,4,1,-1,231,531,COMPLETED
11,rng_stream_10,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2422,0,2,-1,231,531,COMPLETED
12,rng_stream_11,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2380,0,3,-1,231,531,COMPLETED
13,rng_stream_12,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2339,1,1,-1,231,531,COMPLETED
14,rng_stream_13,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2290,1,2,-1,231,531,COMPLETED
15,rng_stream_14,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2242,2,3,-1,231,531,COMPLETED
16,rng_stream_15,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2193,2,0,-1,231,531,COMPLETED
17,rng_stream_16,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2141,6,1,-1,231,531,COMPLETED
18,rng_stream_17,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2096,3,2,-1,231,531,COMPLETED
19,rng_stream_18,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,2050,6,2,-1,231,531,COMPLETED
20,rng_stream_19,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1999,4,2,-1,231,531,COMPLETED
21,rng_stream_20,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1949,3,3,-1,231,531,COMPLETED
22,rng_stream_21,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1901,4,3,-1,231,531,COMPLETED
23,rng_stream_22,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1862,0,0,-1,531,831,COMPLETED
24,rng_stream_23,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1818,5,0,-1,231,531,COMPLETED
25,rng_stream_24,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1769,5,1,-1,231,531,COMPLETED
26,rng_stream_25,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1725,3,0,-1,531,831,COMPLETED
27,rng_stream_26,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1676,3,1,-1,531,831,COMPLETED
28,rng_stream_27,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1632,1,3,-1,231,531,COMPLETED
29,rng_stream_28,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1591,2,0,-1,531,831,COMPLETED
30,rng_stream_29,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1545,5,2,-1,231,531,COMPLETED
31,rng_stream_30,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1500,2,1,-1,531,831,COMPLETED
32,rng_stream_31,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,31,-1,1454,5,3,-1,231,531,COMPLETED
33,rng_stream_32,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1411,4,0,-1,531,831,COMPLETED
34,rng_stream_33,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1365,0,1,-1,531,831,COMPLETED
35,rng_stream_34,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1316,0,2,-1,531,831,COMPLETED
36,rng_stream_35,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1277,3,2,-1,531,831,COMPLETED
37,rng_stream_36,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1225,0,3,-1,531,831,COMPLETED
38,rng_stream_37,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1179,3,3,-1,531,831,COMPLETED
39,rng_stream_38,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1132,5,0,-1,531,831,COMPLETED
40,rng_stream_39,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,1083,5,1,-1,531,831,COMPLETED
41,rng_stream_40,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,1039,3,0,-1,831,1131,COMPLETED
42,rng_stream_41,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,996,2,2,-1,531,831,COMPLETED
43,rng_stream_42,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,952,0,0,-1,831,1131,COMPLETED
44,rng_stream_43,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,906,3,1,-1,831,1131,COMPLETED
45,rng_stream_44,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,859,5,2,-1,531,831,COMPLETED
46,rng_stream_45,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,816,4,1,-1,531,831,COMPLETED
47,rng_stream_46,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,770,0,1,-1,831,1131,COMPLETED
48,rng_stream_47,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,723,2,3,-1,531,831,COMPLETED
49,rng_stream_48,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,672,0,2,-1,831,1131,COMPLETED
50,rng_stream_49,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,331,-1,628,5,3,-1,531,831,COMPLETED
51,rng_stream_50,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,581,0,3,-1,831,1131,COMPLETED
52,rng_stream_51,COMPUTE_LIGHT,MEDIUM,300,300,100000,0,0,231,631,-1,530,5,0,-1,831,1131,COMPLETED
