cluster_id,type,task_count,total_exec_cost,total_comm_volume,avg_affinity,max_criticality,primary_chiplet,spill_count
0,COMM_HEAVY,4,25138,1270,0.7894,HIGH,0,0
1,COMM_HEAVY,3,8584,735,0.6267,HIGH,1,0
2,COMM_HEAVY,4,17053,1282,0.7657,HIGH,2,0
3,COMM_HEAVY,4,23374,1262,0.6950,HIGH,3,0
4,COMM_HEAVY,4,12455,1257,0.6531,HIGH,4,0
5,COMM_HEAVY,4,25553,1103,0.7084,HIGH,5,0
6,COMM_HEAVY,4,18626,1217,0.6895,HIGH,6,0
7,COMM_HEAVY,4,18771,1316,0.7169,HIGH,0,0
8,COMM_HEAVY,4,21175,1323,0.6548,HIGH,1,0
9,COMM_HEAVY,4,21275,1202,0.6857,MEDIUM,2,0
10,COMM_HEAVY,4,15773,1320,0.7125,MEDIUM,3,0
11,COMM_HEAVY,4,29867,1081,0.7031,MEDIUM,4,0
12,COMM_HEAVY,4,19654,1254,0.7160,MEDIUM,5,0
13,COMM_HEAVY,4,14910,1366,0.6597,MEDIUM,6,0
14,COMM_HEAVY,4,8950,1358,0.6792,MEDIUM,0,0
15,COMM_HEAVY,1,1510,0,0.0000,MEDIUM,1,0
16,COMM_HEAVY,4,19567,1341,0.7635,MEDIUM,2,0
17,COMM_HEAVY,4,24473,1281,0.7434,MEDIUM,3,0
18,COMM_HEAVY,4,11888,1346,0.7007,MEDIUM,4,0
19,COMM_HEAVY,4,26881,1128,0.7244,MEDIUM,5,0
20,COMM_HEAVY,4,26996,1301,0.8203,MEDIUM,6,0
21,COMM_HEAVY,4,15817,1387,0.7486,MEDIUM,0,0
22,COMM_HEAVY,4,17522,1347,0.7428,MEDIUM,1,0
23,COMM_HEAVY,4,24622,1143,0.6991,MEDIUM,2,0
24,COMM_HEAVY,4,28790,1261,0.7719,MEDIUM,3,0
25,COMM_HEAVY,4,22912,1158,0.7156,MEDIUM,4,0
26,COMM_HEAVY,4,16150,1306,0.7070,MEDIUM,5,0
27,COMM_HEAVY,4,25734,1276,0.7710,MEDIUM,6,0
28,COMM_HEAVY,4,19187,1307,0.7561,MEDIUM,0,0
29,COMM_HEAVY,4,14845,1374,0.7414,MEDIUM,1,0
30,COMM_HEAVY,4,22111,1308,0.7695,MEDIUM,2,0
31,COMM_HEAVY,4,24463,1288,0.7679,MEDIUM,3,0
32,COMM_HEAVY,4,24634,1015,0.6718,MEDIUM,4,0
33,COMM_HEAVY,4,11576,1335,0.6844,MEDIUM,5,0
34,COMM_HEAVY,4,19165,1282,0.7569,MEDIUM,6,0
35,COMM_HEAVY,4,30522,1223,0.7587,MEDIUM,0,0
36,COMM_HEAVY,1,8011,0,0.0000,MEDIUM,1,0
37,COMM_HEAVY,4,19467,1229,0.7537,MEDIUM,2,0
38,COMM_HEAVY,4,24396,1215,0.7718,MEDIUM,3,0
39,COMM_HEAVY,4,21630,1192,0.6938,MEDIUM,4,0
40,COMM_HEAVY,4,19675,1360,0.6699,MEDIUM,5,0
41,COMM_HEAVY,4,22476,1095,0.6947,MEDIUM,6,0
42,COMM_HEAVY,4,14235,1339,0.7334,MEDIUM,0,0
43,COMM_HEAVY,4,23351,1137,0.7183,MEDIUM,1,0
44,COMM_HEAVY,4,24383,1143,0.6979,MEDIUM,2,0
45,COMM_HEAVY,4,21525,1435,0.8064,MEDIUM,3,0
46,COMM_HEAVY,4,30938,914,0.6546,MEDIUM,4,0
47,COMM_HEAVY,4,25940,1147,0.7440,MEDIUM,5,0
48,COMM_HEAVY,4,24355,1284,0.7801,MEDIUM,6,0
49,COMM_HEAVY,4,21836,1134,0.6796,MEDIUM,0,0
50,COMM_HEAVY,4,16459,1377,0.7832,MEDIUM,1,0
51,COMM_HEAVY,4,24478,1246,0.7585,MEDIUM,2,0
52,COMM_HEAVY,4,17566,1269,0.7118,MEDIUM,3,0
53,COMM_HEAVY,4,29611,1250,0.8121,MEDIUM,4,0
54,COMM_HEAVY,4,16804,1143,0.6070,MEDIUM,5,0
55,COMM_HEAVY,4,26843,1168,0.7508,MEDIUM,6,0
56,COMM_HEAVY,4,23686,1175,0.7180,MEDIUM,0,0
57,COMM_HEAVY,4,29523,1213,0.7895,MEDIUM,1,0
58,COMM_HEAVY,4,21408,1323,0.7517,MEDIUM,2,0
59,COMM_HEAVY,4,20850,1292,0.7738,MEDIUM,3,0
60,COMM_HEAVY,4,18832,1389,0.7662,MEDIUM,4,0
61,COMM_HEAVY,4,18691,1340,0.7525,MEDIUM,5,0
62,COMM_HEAVY,4,25557,1212,0.7191,MEDIUM,6,0
63,COMM_HEAVY,4,24856,1296,0.7703,MEDIUM,0,0
64,COMM_HEAVY,2,8501,402,0.6771,MEDIUM,1,0
65,COMM_HEAVY,2,13806,306,0.6255,MEDIUM,2,0
66,COMM_HEAVY,4,31259,1064,0.7379,MEDIUM,3,0
67,COMM_HEAVY,4,33636,1137,0.7822,MEDIUM,4,0
68,COMM_HEAVY,4,23575,1281,0.7297,MEDIUM,5,0
69,COMM_HEAVY,4,11393,1318,0.7137,MEDIUM,6,0
