global_core_id,chiplet_id,ring,local_core_id,row,col,state,tasks_executed,cycles_busy,utilization_pct
0,0,0,0,0,0,IDLE,817,4310542,89.15
1,0,0,1,0,1,IDLE,827,4261985,88.15
2,0,0,2,1,0,IDLE,822,4278233,88.48
3,0,0,3,1,1,IDLE,817,4302159,88.98
4,1,1,0,0,0,IDLE,725,4022684,83.20
5,1,1,1,0,1,IDLE,743,4011331,82.96
6,1,1,2,1,0,IDLE,706,4061618,84.00
7,1,1,3,1,1,IDLE,741,4052565,83.81
8,2,1,0,0,0,IDLE,713,3869695,80.03
9,2,1,1,0,1,IDLE,685,3864715,79.93
10,2,1,2,1,0,IDLE,700,3906496,80.79
11,2,1,3,1,1,IDLE,706,3866016,79.96
12,3,1,0,0,0,IDLE,725,3958091,81.86
13,3,1,1,0,1,IDLE,720,3967222,82.05
14,3,1,2,1,0,IDLE,721,3922261,81.12
15,3,1,3,1,1,IDLE,709,3951371,81.72
16,4,1,0,0,0,IDLE,730,3926399,81.21
17,4,1,1,0,1,IDLE,710,3950026,81.69
18,4,1,2,1,0,IDLE,727,3951563,81.73
19,4,1,3,1,1,IDLE,716,3931605,81.31
20,5,1,0,0,0,IDLE,747,3995627,82.64
21,5,1,1,0,1,IDLE,735,3959821,81.90
22,5,1,2,1,0,IDLE,719,4048971,83.74
23,5,1,3,1,1,IDLE,728,4003403,82.80
24,6,1,0,0,0,IDLE,695,4035148,83.45
25,6,1,1,0,1,IDLE,743,4027925,83.30
26,6,1,2,1,0,IDLE,724,4030640,83.36
27,6,1,3,1,1,IDLE,745,4059043,83.95
