task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
0,load_netlist,COMPUTE_LIGHT,LOW,500,500,100000,0,0,0,0,99500,6835,2,0,-1,0,500,COMPLETED
1,init_place_0,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,2577,1,0,-1,800,1100,COMPLETED
2,init_place_1,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,6909,0,0,-1,800,1100,COMPLETED
3,init_place_2,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,2528,1,1,-1,800,1100,COMPLETED
4,init_place_3,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,749,0,1,-1,800,1100,COMPLETED
5,init_place_4,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,1124,4,0,-1,800,1100,COMPLETED
6,init_place_5,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,43,-1,2200,2,0,-1,543,843,COMPLETED
7,init_place_6,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,2180,3,0,-1,800,1100,COMPLETED
8,init_place_7,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,6898,0,0,-1,1100,1400,COMPLETED
9,init_place_8,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,6897,0,1,-1,1100,1400,COMPLETED
10,init_place_9,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,6897,0,2,-1,1100,1400,COMPLETED
11,init_place_10,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,6888,0,3,-1,1100,1400,COMPLETED
12,init_place_11,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,900,-1,1855,0,0,-1,1400,1700,COMPLETED
13,init_place_12,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,1854,6,1,-1,800,1100,COMPLETED
14,init_place_13,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,900,-1,6888,0,1,-1,1400,1700,COMPLETED
15,init_place_14,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,900,-1,6887,0,2,-1,1400,1700,COMPLETED
16,init_place_15,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,1676,3,1,-1,800,1100,COMPLETED
17,init_place_16,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,900,-1,6882,0,3,-1,1400,1700,COMPLETED
18,init_place_17,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,1200,-1,6882,0,0,-1,1700,2000,COMPLETED
19,init_place_18,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,1674,1,0,-1,1100,1400,COMPLETED
20,init_place_19,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,1200,-1,1673,0,1,-1,1700,2000,COMPLETED
21,init_place_20,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,604,300,99700,6876,5,0,3,800,1100,COMPLETED
22,init_place_21,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,1490,6,3,-1,800,1100,COMPLETED
23,init_place_22,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,300,-1,1489,5,1,-1,800,1100,COMPLETED
24,init_place_23,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,1488,4,0,-1,1100,1400,COMPLETED
25,init_place_24,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,1487,3,0,-1,1100,1400,COMPLETED
26,init_place_25,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,1313,4,2,-1,1100,1400,COMPLETED
27,init_place_26,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,600,-1,374,3,1,-1,1100,1400,COMPLETED
28,init_place_27,COMPUTE_LIGHT,HIGH,300,300,100000,0,0,543,343,-1,1311,2,0,-1,843,1143,COMPLETED
