global_core_id,chiplet_id,ring,local_core_id,row,col,state,tasks_executed,cycles_busy,utilization_pct
0,0,0,0,0,0,IDLE,2,4000,4.96
1,0,0,1,0,1,IDLE,2,34105,42.33
2,0,0,2,1,0,BUSY,2,33505,41.59
3,0,0,3,1,1,IDLE,1,2300,2.85
4,1,1,0,0,0,IDLE,3,66710,82.80
5,1,1,1,0,1,BUSY,3,36005,44.69
6,1,1,2,1,0,BUSY,1,32505,40.35
7,1,1,3,1,1,BUSY,1,1800,2.23
8,2,1,0,0,0,IDLE,2,34605,42.95
9,2,1,1,0,1,IDLE,1,1300,1.61
10,2,1,2,1,0,BUSY,2,34705,43.08
11,2,1,3,1,1,IDLE,1,5500,6.83
12,3,1,0,0,0,IDLE,1,32505,40.35
13,3,1,1,0,1,IDLE,1,32505,40.35
14,3,1,2,1,0,BUSY,1,32505,40.35
15,3,1,3,1,1,BUSY,1,32505,40.35
16,4,1,0,0,0,IDLE,3,34505,42.83
17,4,1,1,0,1,IDLE,2,2100,2.61
18,4,1,2,1,0,BUSY,1,32505,40.35
19,4,1,3,1,1,BUSY,1,1100,1.37
20,5,1,0,0,0,IDLE,3,35905,44.57
21,5,1,1,0,1,IDLE,2,3500,4.34
22,5,1,2,1,0,BUSY,1,32505,40.35
23,5,1,3,1,1,BUSY,1,2000,2.48
24,6,1,0,0,0,IDLE,0,0,0.00
25,6,1,1,0,1,IDLE,0,0,0.00
26,6,1,2,1,0,IDLE,0,0,0.00
27,6,1,3,1,1,IDLE,0,0,0.00
