cycle,event_kind,task_id,cluster_id,chiplet_id,core_id,note
0,CLUSTER_FORMED,-1,0,-1,-1,"COMM_LESS (graph_aware) tasks=4"
0,TASK_PLACED,6,0,1,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,6,0,1,2,"Deferred replica (high slack)"
32505,TASK_PLACED,7,0,1,1,"start=32505 finish=34205 dur=1700 wait=32505 [core-stall]"
34205,TASK_PLACED,8,0,1,3,"start=34205 finish=36005 dur=1800 wait=34205 [core-stall]"
0,TASK_DEFERRED,9,0,1,-1,"No core available"
0,CLUSTER_PLACED,-1,0,1,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,1,-1,-1,"COMM_HEAVY (graph_aware) tasks=2"
0,TASK_DEFERRED,4,1,2,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,5,1,2,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,1,2,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,2,-1,-1,"COMM_LESS (graph_aware) tasks=4"
0,TASK_PLACED,0,2,4,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,0,2,4,2,"Deferred replica (high slack)"
32505,TASK_PLACED,1,2,4,1,"start=32505 finish=33505 dur=1000 wait=32505 [core-stall]"
33505,TASK_PLACED,2,2,4,3,"start=33505 finish=34605 dur=1100 wait=33505 [core-stall]"
0,TASK_DEFERRED,3,2,4,-1,"No core available"
0,CLUSTER_PLACED,-1,2,4,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,3,-1,-1,"COMM_HEAVY (graph_aware) tasks=4"
0,TASK_PLACED,10,3,5,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,10,3,5,2,"Deferred replica (high slack)"
32505,TASK_PLACED,11,3,5,1,"start=32505 finish=34005 dur=1500 wait=32505 [core-stall]"
34005,TASK_PLACED,12,3,5,3,"start=34005 finish=36005 dur=2000 wait=34005 [core-stall]"
