task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
0,g0_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,2,4,0,2,0,32505,COMPLETED
1,g0_can1_t0,COMPUTE_LIGHT,MEDIUM,1000,1000,-1,0,0,32757,252,-1,2,4,0,-1,32757,33757,COMPLETED
2,g0_fp_t1,COMPUTE_LIGHT,MEDIUM,1100,1100,-1,0,0,34011,254,-1,2,4,1,-1,34011,35111,COMPLETED
3,g0_can2_t0,COMPUTE_LIGHT,MEDIUM,1000,1000,-1,0,0,35388,277,-1,2,4,0,-1,35388,36388,COMPLETED
4,g0_pulse_t12,COMPUTE_LIGHT,MEDIUM,2200,2200,-1,0,0,36665,277,-1,1,2,2,-1,36665,38865,COMPLETED
5,g0_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,39392,527,-1,1,2,0,2,39392,71897,COMPLETED
6,g1_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,0,1,0,2,0,32505,COMPLETED
7,g1_iir_t7,COMPUTE_LIGHT,MEDIUM,1700,1700,-1,0,0,32757,252,-1,0,1,0,-1,32757,34457,COMPLETED
8,g1_idct_t8,COMPUTE_LIGHT,MEDIUM,1800,1800,-1,0,0,34711,254,-1,0,1,1,-1,34711,36511,COMPLETED
9,g1_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,36788,277,-1,0,1,0,1,36788,69293,COMPLETED
10,g2_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,3,5,0,2,0,32505,COMPLETED
11,g2_fft_t5,COMPUTE_LIGHT,MEDIUM,1500,1500,-1,0,0,33445,940,-1,3,5,0,-1,33445,34945,COMPLETED
12,g2_matrix_t10,COMPUTE_LIGHT,MEDIUM,2000,2000,-1,0,0,35887,942,-1,3,5,1,-1,35887,37887,COMPLETED
13,g2_ifft_t9,COMPUTE_LIGHT,MEDIUM,1900,1900,-1,0,0,38852,965,-1,3,5,0,-1,38852,40752,COMPLETED
14,g2_fir_t6,COMPUTE_LIGHT,MEDIUM,1600,1600,-1,0,0,33032,527,-1,5,0,1,-1,33032,34632,COMPLETED
15,g2_angle_t0,COMPUTE_LIGHT,MEDIUM,1000,1000,-1,0,0,41717,965,-1,4,0,2,-1,41717,42717,COMPLETED
16,g2_road_t13,COMPUTE_LIGHT,MEDIUM,2300,2300,-1,0,0,42994,277,-1,5,0,3,-1,42994,45294,COMPLETED
17,g2_table_t14,COMPUTE_LIGHT,MEDIUM,2400,2400,-1,0,0,45571,277,-1,5,0,0,-1,45571,47971,COMPLETED
18,g2_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,48061,90,-1,5,0,1,2,48061,80566,COMPLETED
19,g3_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,7,3,0,2,0,32505,COMPLETED
20,g3_ptr_t11,COMPUTE_LIGHT,MEDIUM,2100,2100,-1,0,0,32595,90,-1,6,2,0,-1,32595,34695,COMPLETED
21,g3_cache_t3,COMPUTE_LIGHT,MEDIUM,1300,1300,-1,0,0,35222,527,-1,6,2,1,-1,35222,36522,COMPLETED
22,g3_tooth_t15,COMPUTE_HEAVY,MEDIUM,5500,5500,-1,0,0,37049,527,-1,6,2,3,-1,37049,42549,COMPLETED
23,g3_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,42639,90,-1,7,3,1,3,42639,75144,COMPLETED
