global_core_id,chiplet_id,ring,local_core_id,row,col,state,tasks_executed,cycles_busy,utilization_pct
0,0,0,0,0,0,IDLE,1,17310,1.90
1,0,0,1,0,1,IDLE,1,16110,1.77
2,0,0,2,1,0,IDLE,0,0,0.00
3,0,0,3,1,1,IDLE,0,0,0.00
4,1,1,0,0,0,IDLE,0,0,0.00
5,1,1,1,0,1,IDLE,0,0,0.00
6,1,1,2,1,0,IDLE,0,0,0.00
7,1,1,3,1,1,IDLE,0,0,0.00
8,2,1,0,0,0,IDLE,2,49215,5.40
9,2,1,1,0,1,IDLE,2,33420,3.67
10,2,1,2,1,0,BUSY,1,32505,3.57
11,2,1,3,1,1,IDLE,2,33420,3.67
12,3,1,0,0,0,IDLE,0,0,0.00
13,3,1,1,0,1,IDLE,0,0,0.00
14,3,1,2,1,0,IDLE,0,0,0.00
15,3,1,3,1,1,IDLE,0,0,0.00
16,4,1,0,0,0,IDLE,2,48915,5.37
17,4,1,1,0,1,IDLE,2,65010,7.14
18,4,1,2,1,0,BUSY,1,32505,3.57
19,4,1,3,1,1,BUSY,2,49515,5.44
20,5,1,0,0,0,IDLE,0,0,0.00
21,5,1,1,0,1,IDLE,0,0,0.00
22,5,1,2,1,0,IDLE,0,0,0.00
23,5,1,3,1,1,IDLE,0,0,0.00
24,6,1,0,0,0,IDLE,1,32505,3.57
25,6,1,1,0,1,IDLE,0,0,0.00
26,6,1,2,1,0,BUSY,1,32505,3.57
27,6,1,3,1,1,IDLE,0,0,0.00
