cycle,event_kind,task_id,cluster_id,chiplet_id,core_id,note
0,CLUSTER_FORMED,-1,0,-1,-1,"COMM_HEAVY (graph_aware) tasks=2"
0,TASK_DEFERRED,4,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,5,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,0,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,1,-1,-1,"COMM_LESS (graph_aware) tasks=4"
0,TASK_PLACED,0,1,2,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,0,1,2,2,"Deferred replica (high slack)"
32505,TASK_PLACED,3,1,2,1,"start=32505 finish=49215 dur=16710 wait=32505 [core-stall]"
32505,TASK_PLACED,2,1,2,3,"start=32505 finish=49215 dur=16710 wait=32505 [core-stall]"
0,TASK_DEFERRED,1,1,2,-1,"No core available"
0,CLUSTER_PLACED,-1,1,2,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,2,-1,-1,"COMM_LESS (graph_aware) tasks=1"
0,TASK_DEFERRED,6,2,4,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,2,4,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,3,-1,-1,"COMM_HEAVY (graph_aware) tasks=4"
0,TASK_DEFERRED,8,3,4,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,9,3,4,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,10,3,4,-1,"Predecessor not yet placed (speculative blocked)"
0,TASK_DEFERRED,11,3,4,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,3,4,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,4,-1,-1,"COMM_LESS (graph_aware) tasks=1"
0,TASK_PLACED,7,4,6,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,7,4,6,2,"Deferred replica (high slack)"
0,CLUSTER_PLACED,-1,4,6,-1,"Single-chiplet placement"
157532,TASK_PLACED,1,1,2,0,"CA start=157532 finish=174242 data_ready=157532"
157509,TASK_PLACED,2,1,2,1,"CA start=157509 finish=174219 data_ready=157509"
157507,TASK_PLACED,3,1,2,3,"CA start=157507 finish=174217 data_ready=157507"
95032,TASK_PLACED,8,3,4,0,"CA start=95032 finish=111442 data_ready=95032"
486469,TASK_PLACED,9,3,4,1,"CA start=486469 finish=518974 data_ready=486469"
518974,REPLICA_PLACED,9,3,4,2,"Deferred replica"
486469,TASK_PLACED,10,3,4,3,"CA start=486469 finish=503479 data_ready=486469"
299269,TASK_PLACED,4,0,0,0,"CA start=299269 finish=316579 data_ready=299269"
691606,TASK_PLACED,5,0,0,1,"CA start=691606 finish=707716 data_ready=691606"
878506,TASK_PLACED,11,3,4,0,"CA start=878506 finish=911011 data_ready=878506"
911011,REPLICA_PLACED,11,3,4,3,"Deferred replica"
770243,TASK_PLACED,6,2,4,1,"CA start=770243 finish=802748 data_ready=770243"
