task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
0,g0_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,1,2,0,2,0,32505,COMPLETED
1,g0_filt-r_t39,MEMORY_BOUND,MEDIUM,16700,16710,-1,0,10,157532,125027,-1,1,2,0,-1,157532,174242,COMPLETED
2,g0_filt-g_t39,MEMORY_BOUND,MEDIUM,16700,16710,-1,0,10,157509,125004,-1,1,2,1,-1,157509,174219,COMPLETED
3,g0_filt-b_t39,MEMORY_BOUND,MEDIUM,16700,16710,-1,0,10,157507,125002,-1,1,2,3,-1,157507,174217,COMPLETED
4,g0_rgb-yiq_t41,MEMORY_BOUND,MEDIUM,17300,17310,-1,0,10,299269,125027,-1,0,0,0,-1,299269,316579,COMPLETED
5,g0_cjpeg_t37,MEMORY_BOUND,MEDIUM,16100,16110,-1,0,10,691606,375027,-1,0,0,1,-1,691606,707716,COMPLETED
6,g0_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,770243,62527,-1,2,4,1,-1,770243,802748,COMPLETED
7,g1_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,4,6,0,2,0,32505,COMPLETED
8,g1_djpeg_t38,MEMORY_BOUND,MEDIUM,16400,16410,-1,0,10,95032,62527,-1,3,4,0,-1,95032,111442,COMPLETED
9,g1_display_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,486469,375027,-1,3,4,1,2,486469,518974,COMPLETED
10,g1_rgb-cymk_t40,MEMORY_BOUND,MEDIUM,17000,17010,-1,0,10,486469,375027,-1,3,4,3,-1,486469,503479,COMPLETED
11,g1_print_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,878506,375027,-1,3,4,0,3,878506,911011,COMPLETED
