global_core_id,chiplet_id,ring,local_core_id,row,col,state,tasks_executed,cycles_busy,utilization_pct
0,0,0,0,0,0,IDLE,2,50415,33.67
1,0,0,1,0,1,IDLE,2,50415,33.67
2,0,0,2,1,0,BUSY,1,32505,21.71
3,0,0,3,1,1,BUSY,2,50115,33.47
4,1,1,0,0,0,IDLE,0,0,0.00
5,1,1,1,0,1,IDLE,0,0,0.00
6,1,1,2,1,0,IDLE,0,0,0.00
7,1,1,3,1,1,IDLE,0,0,0.00
8,2,1,0,0,0,IDLE,0,0,0.00
9,2,1,1,0,1,IDLE,0,0,0.00
10,2,1,2,1,0,IDLE,0,0,0.00
11,2,1,3,1,1,IDLE,0,0,0.00
12,3,1,0,0,0,IDLE,0,0,0.00
13,3,1,1,0,1,IDLE,0,0,0.00
14,3,1,2,1,0,IDLE,0,0,0.00
15,3,1,3,1,1,IDLE,0,0,0.00
16,4,1,0,0,0,BUSY,1,18210,12.16
17,4,1,1,0,1,IDLE,1,18210,12.16
18,4,1,2,1,0,IDLE,0,0,0.00
19,4,1,3,1,1,IDLE,0,0,0.00
20,5,1,0,0,0,IDLE,0,0,0.00
21,5,1,1,0,1,IDLE,0,0,0.00
22,5,1,2,1,0,IDLE,0,0,0.00
23,5,1,3,1,1,IDLE,0,0,0.00
24,6,1,0,0,0,IDLE,0,0,0.00
25,6,1,1,0,1,IDLE,0,0,0.00
26,6,1,2,1,0,IDLE,0,0,0.00
27,6,1,3,1,1,IDLE,0,0,0.00
