cycle,event_kind,task_id,cluster_id,chiplet_id,core_id,note
0,CLUSTER_FORMED,-1,0,-1,-1,"COMM_HEAVY (graph_aware) tasks=4"
0,TASK_PLACED,0,0,0,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,0,0,0,2,"Deferred replica (high slack)"
32505,TASK_PLACED,3,0,0,1,"start=32505 finish=50415 dur=17910 wait=32505 [core-stall]"
50415,TASK_PLACED,4,0,0,3,"start=50415 finish=68025 dur=17610 wait=50415 [core-stall]"
0,TASK_DEFERRED,2,0,0,-1,"Predecessor not yet placed (speculative blocked)"
0,CLUSTER_PLACED,-1,0,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,1,-1,-1,"COMM_LESS (graph_aware) tasks=1"
32505,TASK_PLACED,1,1,4,0,"start=32505 finish=50715 dur=18210 wait=32505 [core-stall]"
0,CLUSTER_PLACED,-1,1,4,-1,"Single-chiplet placement"
32658,TASK_PLACED,1,1,4,1,"CA start=32658 finish=50868 data_ready=32658"
81695,TASK_PLACED,3,0,0,0,"CA start=81695 finish=99605 data_ready=81695"
117240,TASK_PLACED,2,0,0,1,"CA start=117240 finish=149745 data_ready=117240"
149745,REPLICA_PLACED,2,0,0,3,"Deferred replica"
