src_task_id,src_name,src_chiplet,src_core,dst_task_id,dst_name,dst_chiplet,dst_core,volume_bytes,comm_latency_cycles,inject_cycle
0,g0_src_t45,6,0,1,g0_ac1_t21,6,0,10000,627,32505
1,g0_ac1_t21,6,0,2,g0_ce1_t24,0,3,3000,618,39832
2,g0_ce1_t24,0,3,3,g0_sink_t45,0,3,4000,252,79010
1,g0_ac1_t21,6,0,3,g0_sink_t45,0,3,3000,405,39832
4,g1_src_t45,6,3,5,g1_ac2_t21,6,3,10000,1285,32505
5,g1_ac2_t21,6,3,6,g1_ce2_t24,0,1,3000,215,40490
8,g1_fpba2_t27,0,0,7,g1_fft2_t30,0,1,3000,215,86910
5,g1_ac2_t21,6,3,8,g1_fpba2_t27,0,0,3000,215,40490
7,g1_fft2_t30,0,1,9,g1_sink_t45,0,2,3000,215,115230
6,g1_ce2_t24,0,1,9,g1_sink_t45,0,2,4000,277,86310
10,g2_src_t45,0,3,11,g2_ac3_t21,0,3,10000,652,71710
11,g2_ac3_t21,0,3,12,g2_ce3_t24,0,0,3000,215,85710
14,g2_fpba3_t27,0,0,13,g2_fft3_t30,0,0,3000,215,94810
11,g2_ac3_t21,0,3,14,g2_fpba3_t27,0,0,3000,215,85710
13,g2_fft3_t30,0,0,15,g2_sink_t45,0,0,3000,215,116120
12,g2_ce3_t24,0,0,15,g2_sink_t45,0,0,4000,277,102110
16,g3_src_t45,4,0,17,g3_fft1_t30,4,0,3000,190,32505
17,g3_fft1_t30,4,0,18,g3_sink_t45,4,1,3000,192,46705
19,g4_src_t45,2,0,20,g4_fpba_t29,2,0,3000,190,32505
20,g4_fpba_t29,2,0,21,g4_sink_t45,2,1,3000,192,40995
22,g5_src_t45,5,0,23,g5_gsm1_t33,5,0,1000,65,32505
24,g6_src_t45,3,0,25,g6_gsm2_t33,3,0,1000,65,32505
26,g7_src_t45,1,0,27,g7_gsm3_t33,1,0,1000,65,32505
28,g8_src_t45,0,0,29,g8_gsm4_t33,0,1,1000,90,79010
