global_core_id,chiplet_id,ring,local_core_id,row,col,state,tasks_executed,cycles_busy,utilization_pct
0,0,0,0,0,0,IDLE,7,109420,73.52
1,0,0,1,0,1,BUSY,5,101230,68.01
2,0,0,2,1,0,IDLE,2,65010,43.68
3,0,0,3,1,1,IDLE,5,85710,57.59
4,1,1,0,0,0,IDLE,2,47415,31.86
5,1,1,1,0,1,BUSY,1,14910,10.02
6,1,1,2,1,0,BUSY,1,32505,21.84
7,1,1,3,1,1,BUSY,1,14910,10.02
8,2,1,0,0,0,BUSY,3,73310,49.25
9,2,1,1,0,1,IDLE,2,40805,27.42
10,2,1,2,1,0,BUSY,1,32505,21.84
11,2,1,3,1,1,BUSY,1,32505,21.84
12,3,1,0,0,0,IDLE,2,47415,31.86
13,3,1,1,0,1,BUSY,1,14910,10.02
14,3,1,2,1,0,BUSY,1,32505,21.84
15,3,1,3,1,1,BUSY,1,14910,10.02
16,4,1,0,0,0,BUSY,3,79020,53.09
17,4,1,1,0,1,IDLE,2,46515,31.25
18,4,1,2,1,0,BUSY,1,32505,21.84
19,4,1,3,1,1,BUSY,1,32505,21.84
20,5,1,0,0,0,IDLE,2,47415,31.86
21,5,1,1,0,1,BUSY,1,14910,10.02
22,5,1,2,1,0,BUSY,1,32505,21.84
23,5,1,3,1,1,BUSY,1,14910,10.02
24,6,1,0,0,0,IDLE,2,39205,26.34
25,6,1,1,0,1,BUSY,1,6700,4.50
26,6,1,2,1,0,BUSY,1,32505,21.84
27,6,1,3,1,1,IDLE,2,39205,26.34
