cycle,event_kind,task_id,cluster_id,chiplet_id,core_id,note
0,CLUSTER_FORMED,-1,0,-1,-1,"COMM_LESS (graph_aware) tasks=2"
0,TASK_PLACED,26,0,1,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,26,0,1,2,"Deferred replica (high slack)"
32505,TASK_PLACED,27,0,1,1,"start=32505 finish=47415 dur=14910 wait=32505 [core-stall]"
47415,REPLICA_PLACED,27,0,1,3,"Deferred replica (high slack)"
0,CLUSTER_PLACED,-1,0,1,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,1,-1,-1,"COMM_LESS (graph_aware) tasks=2"
0,TASK_PLACED,24,1,3,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,24,1,3,2,"Deferred replica (high slack)"
32505,TASK_PLACED,25,1,3,1,"start=32505 finish=47415 dur=14910 wait=32505 [core-stall]"
47415,REPLICA_PLACED,25,1,3,3,"Deferred replica (high slack)"
0,CLUSTER_PLACED,-1,1,3,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,2,-1,-1,"COMM_LESS (graph_aware) tasks=2"
0,TASK_PLACED,22,2,5,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,22,2,5,2,"Deferred replica (high slack)"
32505,TASK_PLACED,23,2,5,1,"start=32505 finish=47415 dur=14910 wait=32505 [core-stall]"
47415,REPLICA_PLACED,23,2,5,3,"Deferred replica (high slack)"
0,CLUSTER_PLACED,-1,2,5,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,3,-1,-1,"COMM_LESS (graph_aware) tasks=3"
0,TASK_PLACED,19,3,2,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,19,3,2,2,"Deferred replica (high slack)"
32505,TASK_PLACED,20,3,2,1,"start=32505 finish=40805 dur=8300 wait=32505 [core-stall]"
40805,TASK_PLACED,21,3,2,3,"start=40805 finish=73310 dur=32505 wait=40805 [core-stall]"
0,CLUSTER_PLACED,-1,3,2,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,4,-1,-1,"COMM_HEAVY (graph_aware) tasks=3"
0,TASK_PLACED,16,4,4,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,16,4,4,2,"Deferred replica (high slack)"
32505,TASK_PLACED,17,4,4,1,"start=32505 finish=46515 dur=14010 wait=32505 [core-stall]"
46515,TASK_PLACED,18,4,4,3,"start=46515 finish=79020 dur=32505 wait=46515 [core-stall]"
0,CLUSTER_PLACED,-1,4,4,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,5,-1,-1,"COMM_HEAVY (graph_aware) tasks=2"
0,TASK_PLACED,0,5,6,0,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
32505,REPLICA_PLACED,0,5,6,2,"Deferred replica (high slack)"
32505,TASK_PLACED,1,5,6,1,"start=32505 finish=39205 dur=6700 wait=32505 [core-stall]"
0,CLUSTER_PLACED,-1,5,6,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,6,-1,-1,"COMM_HEAVY (graph_aware) tasks=2"
39205,TASK_PLACED,2,6,0,0,"start=39205 finish=46505 dur=7300 wait=39205 [core-stall]"
46505,TASK_PLACED,3,6,0,1,"start=46505 finish=79010 dur=32505 wait=46505 [core-stall]"
79010,REPLICA_PLACED,3,6,0,2,"Deferred replica (high slack)"
0,CLUSTER_PLACED,-1,6,0,-1,"Single-chiplet placement"
0,CLUSTER_FORMED,-1,7,-1,-1,"COMM_HEAVY (graph_aware) tasks=2"
0,TASK_PLACED,4,7,6,3,"start=0 finish=32505 dur=32505 wait=0 [core-stall]"
