task_id,name,type,criticality,exec_time,actual_duration,deadline,release_time,mem_io_penalty,data_ready_cycle,wait_cycles,slack_time,cluster_id,assigned_chiplet,assigned_core,replica_core,start_cycle,finish_cycle,state
0,g0_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,5,6,0,2,0,32505,COMPLETED
1,g0_ac1_t21,COMPUTE_HEAVY,MEDIUM,6700,6700,-1,0,0,33132,627,-1,5,6,0,-1,33132,39832,COMPLETED
2,g0_ce1_t24,COMPUTE_HEAVY,MEDIUM,7300,7300,-1,0,0,40450,31878,-1,6,0,3,-1,71710,79010,COMPLETED
3,g0_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,79262,6700,-1,6,0,3,2,85710,118215,COMPLETED
4,g1_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,7,6,3,-1,0,32505,COMPLETED
5,g1_ac2_t21,COMPUTE_HEAVY,MEDIUM,6700,6700,-1,0,0,33790,1285,-1,7,6,3,-1,33790,40490,COMPLETED
6,g1_ce2_t24,COMPUTE_HEAVY,MEDIUM,7300,7300,-1,0,0,40705,38520,-1,8,0,1,-1,79010,86310,COMPLETED
7,g1_fft2_t30,MEMORY_BOUND,MEDIUM,14000,14010,-1,0,10,87125,14310,-1,8,0,1,-1,101220,115230,COMPLETED
8,g1_fpba2_t27,COMPUTE_HEAVY,MEDIUM,7900,7900,-1,0,0,40705,38520,-1,9,0,0,-1,79010,86910,COMPLETED
9,g1_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,115445,215,-1,8,0,2,1,115445,147950,COMPLETED
10,g2_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,39205,-1,10,0,3,-1,39205,71710,COMPLETED
11,g2_ac3_t21,COMPUTE_HEAVY,MEDIUM,6700,6700,-1,0,0,72362,7300,-1,10,0,3,-1,79010,85710,COMPLETED
12,g2_ce3_t24,COMPUTE_HEAVY,MEDIUM,7300,7300,-1,0,0,85925,9100,-1,11,0,0,-1,94810,102110,COMPLETED
13,g2_fft3_t30,MEMORY_BOUND,MEDIUM,14000,14010,-1,0,10,95025,7300,-1,11,0,0,-1,102110,116120,COMPLETED
14,g2_fpba3_t27,COMPUTE_HEAVY,MEDIUM,7900,7900,-1,0,0,85925,1200,-1,12,0,0,-1,86910,94810,COMPLETED
15,g2_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,116335,215,-1,11,0,0,-1,116335,148840,COMPLETED
16,g3_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,4,4,0,2,0,32505,COMPLETED
17,g3_fft1_t30,MEMORY_BOUND,MEDIUM,14000,14010,-1,0,10,32695,190,-1,4,4,0,-1,32695,46705,COMPLETED
18,g3_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,46897,192,-1,4,4,1,0,46897,79402,COMPLETED
19,g4_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,3,2,0,2,0,32505,COMPLETED
20,g4_fpba_t29,COMPUTE_HEAVY,MEDIUM,8300,8300,-1,0,0,32695,190,-1,3,2,0,-1,32695,40995,COMPLETED
21,g4_sink_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,41187,192,-1,3,2,1,0,41187,73692,COMPLETED
22,g5_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,2,5,0,2,0,32505,COMPLETED
23,g5_gsm1_t33,MEMORY_BOUND,HIGH,14900,14910,-1,0,10,32570,65,-1,2,5,0,3,32570,47480,COMPLETED
24,g6_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,1,3,0,2,0,32505,COMPLETED
25,g6_gsm2_t33,MEMORY_BOUND,HIGH,14900,14910,-1,0,10,32570,65,-1,1,3,0,3,32570,47480,COMPLETED
26,g7_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,0,-1,0,1,0,2,0,32505,COMPLETED
27,g7_gsm3_t33,MEMORY_BOUND,HIGH,14900,14910,-1,0,10,32570,65,-1,0,1,0,3,32570,47480,COMPLETED
28,g8_src_t45,IO_BOUND,HIGH,32500,32505,-1,0,5,0,46505,-1,13,0,0,-1,46505,79010,COMPLETED
29,g8_gsm4_t33,MEMORY_BOUND,HIGH,14900,14910,-1,0,10,79100,7300,-1,13,0,1,-1,86310,101220,COMPLETED
